Applicant ID,Gender,Marital Status,Age,Employment Status,Employment History (Years),Annual Income,Co-applicant Income,Loan Amount Requested,Loan Term (Months),Credit History,Credit Score,Existing Loan EMI,Debt-to-Income Ratio,Property Area,Approval Status
38ad0c88-bc8a-40a5-a08f-ab0f54e23a3d,Male,Single,53,Employed,8,99755,38546,207203,300,0,712,586,0.35,Rural,1
f34783fd-4b79-4aad-80a3-39ca23bd996d,Female,Married,55,Employed,1,22805,7841,365697,120,0,676,1831,0.34,Urban,1
fb5f0925-313f-4213-b975-7b8e82c0f430,Female,Single,46,Employed,23,27449,49915,466946,360,2,439,363,0.37,Semi-Urban,1
31331ebb-1ca0-46d1-98a0-70d67813f85a,Female,Single,44,Unemployed,0,0,0,202661,240,1,833,698,0.38,Semi-Urban,1
d5c199c5-55c2-45ff-ad71-55c333bb59e9,Male,Married,40,Employed,20,130108,21677,241667,60,1,450,60,0.29,Urban,1
9e120d75-8d90-437c-a684-318894d97a32,Female,Single,54,Self-employed,17,55984,46016,499485,300,0,752,1411,0.2,Rural,1
0cc400c2-73fe-4709-a06f-79c7aa72145a,Female,Single,31,Employed,21,42851,30912,233485,360,2,308,56,0.18,Urban,1
69ea6b1f-5458-4346-befb-4e2fba349b32,Female,Married,42,Unemployed,0,0,0,444773,240,1,354,1339,0.39,Semi-Urban,0
5dbcc7b3-58cd-4148-ae93-780b67004a26,Male,Married,35,Employed,16,91874,34149,368228,180,2,774,1122,0.12,Rural,0
565d8d15-1688-4c2e-a9de-ff6735434d7e,Male,Single,56,Employed,12,142909,9856,447889,240,0,361,633,0.39,Semi-Urban,1
1c60a6b6-21d0-4903-b6ae-b7aba74d9211,Male,Married,24,Employed,30,20480,26892,424483,240,0,428,960,0.44,Semi-Urban,0
fa462045-588e-4390-a9c3-2a8f6cd73e0d,Female,Married,31,Unemployed,0,0,0,400172,60,0,432,1758,0.24,Urban,0
2b1e865d-140d-44c5-8275-d22610db1668,Female,Married,26,Unemployed,0,0,0,162716,60,2,659,253,0.25,Urban,1
2b1128bb-86b6-4a22-9d26-ef14a1bb7846,Female,Married,59,Self-employed,16,139893,36986,293839,60,0,469,719,0.3,Urban,0
1f597a6b-4e0f-46be-9610-47f4a27b5066,Male,Single,33,Unemployed,0,0,0,81531,360,0,813,674,0.49,Urban,1
f7266d7c-b91e-4900-884f-8147192e274c,Female,Single,50,Self-employed,6,127970,41272,273161,60,1,536,682,0.45,Rural,1
e41ad06d-ae0b-4b14-9ce4-1f597f3f14f2,Male,Single,51,Employed,19,90171,36927,131265,240,0,523,1509,0.15,Rural,0
68e3efac-0e76-43e1-922b-ee15671c35d8,Male,Married,58,Employed,21,65752,9038,141982,60,1,501,1723,0.45,Urban,1
6922c520-0562-491a-bf23-89b95bb8fac5,Male,Married,26,Unemployed,0,0,0,463674,60,1,365,56,0.44,Urban,1
a7030831-7b74-4f6d-9d82-9a87f636b0d0,Male,Single,26,Self-employed,9,90581,46519,148926,300,1,628,1355,0.48,Semi-Urban,0
ca18d8c0-f539-4feb-ab45-7181179be909,Male,Single,37,Employed,4,70484,17828,137275,120,2,850,1010,0.29,Rural,1
8620b14a-5fa2-4b14-ba3c-cbb6965467a1,Male,Married,30,Unemployed,0,0,0,392441,60,2,665,91,0.22,Semi-Urban,0
4ffcea40-7caa-4502-8881-4755b1111161,Male,Married,43,Unemployed,0,0,0,393059,240,1,637,1699,0.26,Urban,1
343ed895-fcc1-4678-9e44-6762d95a58df,Female,Married,60,Self-employed,29,68169,25312,301283,360,0,630,1938,0.49,Urban,1
5ea3dd31-2ea6-46ef-bb80-3220dfb372ed,Female,Single,41,Self-employed,8,79646,33224,101099,180,0,487,1165,0.12,Urban,0
86344148-1485-4026-b086-5f27bd7ed409,Male,Single,51,Employed,5,99883,31087,489419,60,0,722,523,0.38,Urban,0
67ed3c0d-5da8-4c9c-8142-79b17ce55b53,Male,Married,60,Self-employed,26,98317,780,317404,120,0,711,1884,0.3,Urban,1
6f17e3e0-328d-43b3-a46c-ff5d86b31dbe,Male,Single,30,Unemployed,0,0,0,129746,120,0,662,1370,0.4,Rural,1
87e602b4-0a53-4b26-bd0e-e6b6bc53038a,Female,Married,33,Self-employed,26,43467,31887,208640,60,1,591,566,0.42,Semi-Urban,1
a1da6f8f-2267-4324-95ad-deb9417de955,Female,Single,38,Unemployed,0,0,0,101352,120,1,531,1302,0.3,Urban,1
adc8c700-e4b0-4ad6-ad49-1264b88770fa,Female,Single,49,Unemployed,0,0,0,186427,300,0,584,1766,0.31,Rural,0
f9bb9c13-a0cb-4901-81a3-5a1b76c8b111,Male,Single,48,Self-employed,26,46346,9752,431379,60,2,324,1355,0.36,Semi-Urban,1
9110f017-62e5-4e60-a6fe-88c957129e6a,Female,Married,57,Self-employed,9,71375,30432,234112,240,1,369,1898,0.26,Rural,1
a9aa76c4-6bfc-4163-a409-01fafe231020,Male,Married,29,Self-employed,20,141157,48507,319258,300,0,407,98,0.48,Rural,0
5ab502f9-aad2-4de9-9206-d279508c3e7a,Male,Single,59,Unemployed,0,0,0,155026,240,1,760,687,0.27,Rural,1
fde149cf-4758-4a7a-adf7-128c75ddb265,Female,Married,51,Self-employed,14,142763,2,195837,180,0,447,156,0.45,Urban,0
5d5bd553-e710-401f-acb3-4070cf3c81da,Male,Married,26,Unemployed,0,0,0,385936,300,1,519,767,0.34,Urban,1
610386d2-7e84-4122-b394-3fdd5499141b,Male,Married,41,Unemployed,0,0,0,240424,300,1,597,294,0.13,Urban,0
ac8ba95b-0a7a-4967-acaf-608f7ef87d4d,Male,Married,25,Unemployed,0,0,0,460758,240,1,558,1119,0.36,Semi-Urban,1
803a0d51-3b64-493c-8bcf-d4039acc24e3,Male,Married,30,Unemployed,0,0,0,151498,240,2,477,475,0.44,Urban,0
7acbd73c-780f-4e11-95ff-ac6c8a531988,Male,Single,31,Self-employed,10,52685,3848,444739,120,1,578,1502,0.29,Rural,1
34b196d1-5f69-4327-9ae6-7ba62a047a2b,Female,Single,44,Unemployed,0,0,0,439910,360,1,300,782,0.28,Semi-Urban,0
6fcb9656-71ff-4721-b10b-f337a98a95c2,Female,Single,28,Self-employed,15,38586,49038,297766,180,2,383,934,0.24,Urban,1
0fec532a-f57b-42eb-8206-49c33f61a848,Female,Single,31,Unemployed,0,0,0,87957,240,1,451,254,0.32,Rural,0
a1737ca3-9b27-496e-b9fa-08334e024c91,Male,Married,42,Unemployed,0,0,0,408737,180,2,451,1764,0.28,Semi-Urban,0
74b14709-0886-4e7a-b949-896e64caeeaf,Male,Single,50,Unemployed,0,0,0,221066,240,0,668,711,0.26,Rural,1
a7441eca-c7cc-4dc6-86cb-5ba7f02cc768,Male,Married,42,Employed,2,95962,23922,57938,240,2,573,211,0.45,Semi-Urban,1
237d802f-4f6e-4108-a682-13686848e244,Female,Married,58,Employed,11,85590,251,171979,240,1,398,1924,0.22,Rural,1
e3552fe3-dd26-4d6c-9d4e-ebc4d59e4a14,Male,Married,30,Self-employed,30,146818,36776,307846,180,1,431,301,0.15,Semi-Urban,1
094fd309-5e8a-45e7-b097-25036a1c4ea1,Male,Married,43,Employed,30,146177,34401,118353,360,0,643,54,0.45,Rural,1
de84788e-b371-4a07-b9bc-786452dfe6d4,Female,Single,46,Employed,29,105290,41149,171682,240,0,369,1558,0.28,Rural,1
d5882bad-c47e-4e03-8c88-3b1786adf2a7,Male,Married,21,Unemployed,0,0,0,485887,120,0,422,1878,0.38,Rural,1
d2df7bac-635b-4588-829a-9e79353a9c93,Male,Single,30,Self-employed,29,109569,25847,323384,60,1,834,952,0.31,Semi-Urban,1
93e662fb-2f3f-45d5-8777-077134bca487,Female,Married,59,Unemployed,0,0,0,358855,60,2,593,299,0.35,Urban,0
59972739-b22a-4f27-b5a8-323f3849a346,Female,Married,27,Self-employed,8,22272,29983,138009,60,0,457,8,0.43,Semi-Urban,1
0ae23785-e519-43d0-b6a2-d7a66c9e04b2,Male,Single,22,Unemployed,0,0,0,126203,300,2,590,819,0.14,Semi-Urban,1
5c3a0e30-5dfc-4b78-a3c3-5df63e0fd3c8,Male,Married,52,Employed,3,114305,47669,113157,120,1,375,1044,0.27,Rural,0
093e9b8d-328f-4221-99c2-df1838519001,Male,Married,26,Unemployed,0,0,0,54149,120,2,553,1870,0.21,Semi-Urban,0
cd3fac12-03e8-4525-8b00-6e63d268863a,Female,Married,49,Unemployed,0,0,0,231405,300,1,655,218,0.44,Semi-Urban,1
75f2ebfc-f2d0-4582-86d4-1d916bd3df20,Male,Married,36,Self-employed,5,86555,7373,83909,120,2,440,976,0.3,Semi-Urban,1
a3be5775-4e37-4d6e-a5dc-3c288e852e99,Female,Single,52,Unemployed,0,0,0,113280,60,0,414,144,0.43,Rural,1
5e823072-5d8e-4251-a9e5-dfcf35b64b2d,Male,Single,47,Unemployed,0,0,0,208852,120,0,611,1688,0.47,Semi-Urban,0
bdb1fff9-5ee7-402d-8bf3-88bfda85b864,Female,Single,33,Self-employed,7,71920,18926,188342,300,1,733,612,0.25,Rural,0
c5b87574-c09c-4c03-8eb8-51bd9921b3fd,Male,Married,36,Unemployed,0,0,0,83150,300,1,703,652,0.42,Urban,0
4f5757c4-00ba-4b06-b9d9-c755338d29ae,Male,Married,37,Self-employed,3,55738,23662,107760,60,0,620,973,0.35,Urban,1
bc40dc4c-0f57-42ad-a1c5-6ba83505050d,Male,Married,35,Unemployed,0,0,0,390724,360,1,362,453,0.11,Semi-Urban,1
56102b42-cf62-4e63-9b7f-17c591113f64,Male,Married,48,Unemployed,0,0,0,454477,120,1,332,1990,0.48,Semi-Urban,1
808ae056-98a2-41f6-adeb-391fdbbc01c5,Female,Married,37,Employed,1,129346,44004,173771,240,0,794,1504,0.45,Urban,1
c39deebb-09e7-412e-871f-df1170951720,Male,Married,31,Unemployed,0,0,0,287873,180,2,528,1688,0.39,Rural,1
f0550451-d858-4303-800f-86e36a3d9f8f,Male,Single,36,Unemployed,0,0,0,110947,180,2,403,1675,0.34,Semi-Urban,1
0eb002c8-991e-4341-a042-9b847336e464,Female,Married,55,Unemployed,0,0,0,241864,60,1,552,1110,0.47,Urban,1
adc60fcf-5699-4644-b91d-6682321ac6dc,Male,Single,51,Employed,18,54396,1846,389721,360,0,777,1788,0.33,Rural,1
c4d3e2f1-3685-46cc-a9c6-a03d391b9db9,Female,Married,28,Unemployed,0,0,0,481579,240,1,567,1659,0.48,Semi-Urban,1
85816c32-0e6b-44a0-bb4d-83aa83129326,Male,Married,21,Employed,10,69924,48771,246356,180,1,503,724,0.26,Semi-Urban,1
d465e49b-cb06-4662-bd4a-f91e307e10a5,Male,Single,56,Self-employed,26,93515,49618,459322,60,2,626,1051,0.39,Semi-Urban,1
545f8d5e-6e48-4f71-8108-2e1618f765c0,Female,Married,42,Self-employed,5,20865,9087,386844,60,1,632,140,0.3,Urban,1
02a3381b-d8c4-4f87-8a54-d92fca485650,Female,Single,35,Self-employed,13,136494,39540,230535,360,2,421,1647,0.4,Semi-Urban,1
791ca6aa-90ff-4a62-bbba-e0ad2f4fea72,Male,Married,50,Employed,22,123769,19123,497215,60,2,590,1250,0.5,Rural,1
2c62b5ff-97ae-49b6-bde3-a93a9ca6e00a,Male,Married,29,Self-employed,23,48551,12105,280934,60,1,789,1524,0.2,Urban,1
a33dd8e8-a368-4e12-bca2-4ee395bab88d,Female,Married,35,Unemployed,0,0,0,149580,180,2,487,580,0.21,Urban,1
3ca4a28b-f23e-4a0b-a842-205394b8c63e,Male,Single,31,Unemployed,0,0,0,53430,60,0,784,1729,0.45,Semi-Urban,1
a1633056-d8d2-4908-9de7-60b8836eb500,Male,Single,30,Self-employed,10,24285,36672,393614,60,2,817,287,0.1,Urban,1
677674ef-c87b-461a-b117-14b087cc3942,Female,Single,43,Unemployed,0,0,0,192376,180,1,503,767,0.19,Semi-Urban,1
76797a5f-5aa3-4e03-8e56-1aac72ad6530,Male,Single,53,Self-employed,25,71985,4791,326790,240,2,540,972,0.17,Rural,1
9f377f15-c483-482a-86cf-9e9d0a43ab00,Male,Married,35,Self-employed,15,144273,17748,324835,60,0,327,1597,0.42,Semi-Urban,0
5dcd08a9-65a8-4110-8c8a-1b8ab278c64f,Male,Single,37,Employed,7,45824,16901,221734,120,0,324,1893,0.3,Rural,1
966dede2-c6cc-4687-a25a-582a5af1aec9,Male,Single,45,Employed,2,83518,21131,466355,120,2,373,198,0.33,Urban,1
efa073d0-3dd4-4bc4-9822-714e3d757e69,Male,Single,50,Self-employed,23,145563,46054,115999,300,1,450,605,0.31,Rural,0
023c5f05-979b-4128-80f4-56d9be1032b3,Female,Single,37,Self-employed,23,36713,44260,79833,360,0,710,115,0.39,Semi-Urban,1
7f0702c8-28a3-4c13-8552-22801a31a7a0,Male,Married,57,Employed,3,26937,37232,436401,360,0,424,234,0.3,Rural,1
7087b7c4-2037-42d2-bb36-044876e64c5f,Male,Married,41,Unemployed,0,0,0,282943,360,0,755,884,0.33,Rural,0
365b8ac0-4f5d-4c0c-ae2d-2e63e2a055f2,Female,Married,45,Employed,27,33278,6194,457947,240,2,438,814,0.36,Urban,1
521ee607-a72f-4bf3-a88f-2209b9d39689,Female,Married,22,Self-employed,15,114631,29178,117099,240,1,565,1363,0.47,Rural,1
de746048-5aa7-4ca1-9862-fec42bfadbcd,Female,Married,31,Unemployed,0,0,0,287660,180,0,490,752,0.5,Urban,1
a95c3504-debc-446d-9b16-380e808a1108,Female,Married,45,Employed,26,81090,13108,396710,240,0,470,1393,0.46,Rural,1
4bfb72f2-6584-4dd8-9147-5c357bffa2a3,Male,Married,59,Self-employed,1,114052,34055,243238,120,1,345,736,0.49,Semi-Urban,1
0f60b2e5-568d-4d74-b028-c92bf35e0e58,Female,Married,27,Unemployed,0,0,0,381887,360,0,578,292,0.45,Rural,1
6cdf13ec-c612-4640-a748-21ee186ffdc2,Female,Single,60,Unemployed,0,0,0,297460,60,2,430,726,0.34,Urban,1
401a3bb3-e1a9-46ab-aeea-33414272a330,Female,Single,37,Self-employed,29,84509,12183,428161,300,2,775,1185,0.42,Semi-Urban,1
425f6720-39e9-487d-93c6-0474b83cbb4d,Male,Married,56,Unemployed,0,0,0,58404,180,2,659,90,0.15,Semi-Urban,0
06acb357-112b-4082-81fa-b1b244ba74fe,Female,Single,38,Unemployed,0,0,0,109900,60,0,645,847,0.28,Rural,0
9adc818c-db0d-4648-9f25-583ba166919b,Male,Married,48,Employed,8,87057,27528,330132,60,1,556,1422,0.32,Rural,1
9f479a0a-1e03-4a3d-b3f1-7c30e2f0b02c,Female,Married,27,Employed,22,115986,29322,68827,360,2,636,1264,0.1,Semi-Urban,0
48b1845d-5a7d-44da-a001-e620559790ed,Male,Single,48,Employed,0,121608,40323,330132,300,2,804,1055,0.21,Rural,1
c20658f4-0b8a-4ebe-9de3-1ad575094158,Female,Single,34,Self-employed,14,92495,3527,455841,60,1,580,1828,0.38,Semi-Urban,1
780e0c56-711d-4f1d-bacc-bdb9dcc0e732,Male,Single,44,Unemployed,0,0,0,258706,360,0,406,1278,0.31,Rural,1
5a7762bc-3618-4d2e-bf64-def10ec2e2b5,Female,Single,59,Unemployed,0,0,0,195922,240,0,517,418,0.14,Rural,0
d8274b33-cc75-4459-a575-c7b48d502340,Male,Single,32,Self-employed,24,39381,31728,378861,120,0,405,272,0.25,Semi-Urban,1
b61539ee-f8f3-4a60-8b71-57a328a5b03a,Male,Married,45,Unemployed,0,0,0,385302,60,2,597,410,0.15,Urban,0
bb495dc5-fe68-410c-8f85-8eec76441288,Male,Married,44,Employed,1,127162,15401,130050,240,0,640,252,0.21,Semi-Urban,1
a7f20351-3dbe-4635-a8cd-9c671818e15b,Male,Single,38,Self-employed,18,71210,38283,473371,240,0,399,220,0.5,Rural,1
8936bb67-1c5c-4fce-ab75-ed2509dda979,Female,Married,30,Unemployed,0,0,0,115811,180,2,680,592,0.28,Rural,0
7ed74298-2236-469f-bad2-5d7da45125d9,Female,Single,59,Employed,30,73343,40413,469335,300,1,548,778,0.4,Urban,1
3ca86915-e00a-49d2-8883-8d3012bd9c12,Male,Married,60,Self-employed,5,133509,27705,279918,300,2,499,1135,0.24,Semi-Urban,1
855e13d0-c901-42c5-b341-e31c04423e85,Male,Single,43,Self-employed,6,130255,22372,51915,360,1,428,1232,0.38,Semi-Urban,1
d4836dce-3e88-4560-ab3d-748c00b238a0,Female,Single,40,Unemployed,0,0,0,232185,360,2,725,579,0.36,Rural,1
507030a5-ade5-49e6-9cad-452501d62fc7,Female,Single,27,Employed,1,132723,20547,80873,120,2,311,569,0.47,Semi-Urban,1
a716d0a4-17c6-4e57-9907-b0e9e9f2478c,Female,Married,47,Self-employed,14,41749,10143,52193,120,0,519,1274,0.45,Urban,1
3573946c-e782-4360-a011-d1104c447bdd,Male,Married,56,Employed,10,70094,18986,378463,60,2,753,860,0.34,Urban,0
6aa7ff26-602f-46a2-85e1-ca54cc12d899,Male,Married,31,Self-employed,21,41952,30908,435431,360,2,353,887,0.33,Rural,1
96f47fdd-1fd3-4c50-8926-93f079b8437d,Male,Married,58,Self-employed,27,64551,22274,174874,60,0,426,1147,0.45,Rural,1
3ed1ad7c-7e71-446b-aa45-9a0448981d1f,Female,Single,46,Employed,1,143096,18082,228639,360,2,739,750,0.43,Rural,1
9362cbb7-ef52-4203-bd41-098bf95d931b,Female,Single,42,Self-employed,25,83861,20100,52196,360,0,637,1846,0.23,Rural,1
18bc99ac-9ed5-423d-948b-62274c76c909,Female,Married,49,Self-employed,6,123845,9615,439175,240,2,776,1018,0.16,Urban,1
d50d9b7a-f9ad-4fe7-9bf8-c44c768f5ce8,Male,Married,49,Self-employed,3,97324,43404,205819,60,2,763,1476,0.33,Semi-Urban,1
ffc57d97-f146-4dfd-a813-991412e8d59c,Male,Married,48,Self-employed,9,88859,34283,169150,240,1,757,360,0.12,Semi-Urban,1
c43d8b0a-6ff1-422d-bd7a-d738904b0164,Female,Single,44,Employed,7,128548,10136,132067,120,1,441,110,0.42,Semi-Urban,0
d4241170-ca06-4880-a695-063b3a7ed56f,Female,Married,53,Unemployed,0,0,0,493439,60,1,830,1734,0.21,Rural,1
730a1500-e330-4aa9-84dd-22af4f65e923,Male,Single,30,Self-employed,8,73946,46929,397459,300,1,331,1990,0.4,Semi-Urban,0
7c916c30-7ea0-4405-893a-84d2e0f7f287,Female,Married,48,Unemployed,0,0,0,367299,360,0,610,165,0.26,Urban,1
f31e5210-c6ef-42c8-a5b3-9314ca5babee,Female,Single,24,Employed,10,128330,7249,288412,120,0,843,1019,0.31,Rural,1
7ab0473a-a3c8-42b5-81b3-2cffd792f1f0,Male,Married,39,Unemployed,0,0,0,223779,360,0,575,1848,0.25,Semi-Urban,1
12e5029e-8e23-4625-82d8-bd46f8c521cb,Male,Single,36,Employed,1,87226,28953,377523,180,0,361,203,0.24,Semi-Urban,1
a33f09bb-7556-4226-89c5-c74669c8fe78,Female,Single,24,Employed,26,83970,25417,155544,60,1,793,266,0.31,Semi-Urban,1
d5906ef3-4348-48fc-b5ed-8b2a1f57612b,Male,Married,39,Unemployed,0,0,0,365801,180,2,699,431,0.27,Semi-Urban,1
397f1f48-e8ae-48be-adfa-90cec331d15f,Male,Single,52,Employed,14,54445,11246,437160,180,0,650,927,0.15,Semi-Urban,1
d6ab8541-9b15-4ec0-8721-47cf7dee3d4d,Male,Single,20,Unemployed,0,0,0,476856,300,1,482,1495,0.32,Rural,1
200ee4b7-0614-4c95-b735-2f125e59110a,Female,Single,48,Employed,14,81190,131,53658,360,0,572,767,0.17,Semi-Urban,1
74b04cfb-8c98-4609-bb18-62cf8b3fcc04,Male,Married,41,Self-employed,6,45857,38953,50751,180,0,417,1974,0.11,Urban,1
417356f8-651a-4c2c-95b5-384170a1c824,Female,Single,42,Unemployed,0,0,0,263647,60,0,599,1150,0.19,Rural,0
7cce3f4b-2b0d-4a69-bd9b-7501dca72120,Male,Single,50,Self-employed,26,57961,48774,89937,180,1,411,502,0.17,Urban,1
c3743d9c-6931-4b2a-b15a-025ddf2eb7ab,Male,Married,49,Self-employed,17,44600,46774,206841,240,0,834,1123,0.3,Semi-Urban,0
1121683e-b367-4bb7-b790-7704bbe4f1e2,Female,Single,52,Self-employed,19,105506,29424,436367,360,2,360,226,0.35,Urban,1
6e116e27-7de3-46d3-8f3b-7cf6f2fb37e4,Male,Single,30,Self-employed,25,72624,28507,257870,300,1,710,918,0.38,Semi-Urban,1
69743cf4-f802-4f27-8210-f73d66fb23d2,Female,Single,53,Self-employed,25,21525,15015,263942,120,2,832,1351,0.36,Urban,1
f8858a8c-a108-498b-9b30-74fc2b985bcd,Female,Married,34,Unemployed,0,0,0,221678,300,2,607,263,0.35,Semi-Urban,1
c80bf153-caa5-4c41-90ca-5895bd5faaa2,Female,Married,41,Self-employed,19,54647,18591,94805,240,0,442,370,0.16,Rural,1
446514f5-0c55-42ed-909e-3844f81f8fd7,Female,Married,45,Employed,13,123754,32900,335741,360,1,704,1747,0.47,Semi-Urban,1
3e8fb3ab-7c92-4666-a1e0-83c971384c46,Female,Married,54,Employed,19,82813,818,232540,180,0,781,679,0.11,Semi-Urban,1
ae1a0f53-86f8-4208-8253-4d7e7f904164,Female,Single,37,Unemployed,0,0,0,184592,180,2,786,535,0.35,Urban,1
22c51c85-6c76-40c3-a481-ebaab3cd5e11,Male,Single,33,Employed,28,89400,46781,407618,180,1,721,459,0.4,Semi-Urban,0
3405f135-6a08-48ea-8610-189f43c81164,Male,Single,47,Self-employed,17,36016,17787,270739,240,2,452,1780,0.16,Urban,0
849d3acf-e74a-4eb4-a530-3dbf0af65fc8,Female,Married,21,Unemployed,0,0,0,336485,300,0,493,1271,0.23,Urban,0
55fd6e2c-da5b-460d-a423-5b79e3cc8c52,Female,Married,30,Employed,19,82859,26832,404908,60,1,330,1120,0.2,Rural,0
674dfd37-1287-43f6-b16f-49e2e9607e1f,Female,Married,32,Unemployed,0,0,0,436318,120,1,529,78,0.21,Semi-Urban,0
d149029b-4825-4364-aad1-b9f2bb84f6de,Female,Married,45,Unemployed,0,0,0,371897,360,1,327,209,0.14,Rural,0
5aa30e70-0b69-4cfc-aaf8-4ff38920925b,Male,Single,39,Employed,0,67347,15648,300984,120,2,454,1119,0.35,Semi-Urban,0
b60ede01-42a4-44c3-8546-282956516829,Female,Single,46,Self-employed,0,69828,7316,302346,240,1,842,1187,0.31,Urban,1
490c7c7c-028f-40e1-b2aa-a3462a7c760d,Female,Married,39,Self-employed,3,148527,26630,67134,300,0,301,1078,0.26,Rural,1
8614ba07-dd33-4e2c-a77f-f0de645b926c,Male,Single,49,Self-employed,25,111371,48160,233824,300,2,692,181,0.26,Urban,0
1e76b505-6b56-47be-8dea-7df108ce4e9c,Female,Single,43,Unemployed,0,0,0,277073,120,2,812,1159,0.44,Semi-Urban,0
709d378f-223e-4c8b-947e-e54fa1bb0997,Male,Single,35,Employed,11,58138,22069,261522,240,2,395,342,0.27,Urban,0
e99dcc7d-a997-4040-9482-6b48be5e6973,Female,Single,33,Employed,5,95817,23064,254867,120,1,781,1860,0.13,Semi-Urban,1
2c268e27-080b-47d1-be8f-0d6aae3acb67,Male,Single,54,Self-employed,19,91277,43807,476522,180,0,386,570,0.12,Semi-Urban,0
8b42e41d-826b-4587-9c47-7728f9cd188d,Male,Married,28,Unemployed,0,0,0,149529,300,2,784,270,0.47,Urban,0
3f2778f8-e3fe-451c-999c-87fd06b59f13,Female,Married,58,Employed,19,40116,5625,429988,180,0,510,42,0.35,Rural,0
e860d690-1e28-4dca-8ec5-705caeef2eff,Female,Married,28,Unemployed,0,0,0,90702,180,2,529,1747,0.42,Rural,1
a4e2cbd0-28f9-4fb0-b62d-7ac82956fcf7,Male,Single,46,Self-employed,2,34737,138,488361,180,2,597,1265,0.5,Rural,0
631cb41e-0d6f-48bc-83ac-7c18c28cd78f,Male,Married,24,Self-employed,25,100528,19860,405064,120,0,374,184,0.15,Urban,1
adb1e6e4-d095-40be-ac19-8c5a8de609de,Male,Married,26,Self-employed,1,81602,35192,344963,300,1,805,1801,0.15,Semi-Urban,0
9d9bbcf9-8f3b-466f-9f2f-ec8c3d9f854f,Female,Married,55,Employed,1,112849,37180,493453,180,1,731,772,0.39,Rural,0
dcb2e77e-7d70-48c1-92f8-6b115a5c80b8,Male,Married,24,Employed,17,81226,7235,446246,60,0,816,31,0.16,Urban,1
bb0732bc-5264-4002-99df-1437d34566a2,Male,Married,32,Unemployed,0,0,0,240877,120,1,342,1752,0.11,Urban,1
